            ELL     LMIN     LMAX          D_ELL            ERR
              E        I        I              E              E
                                        muKcmb^2       muKcmb^2
   4.771100E+01       30       59   1.040000E-01   1.700000E-02
   7.647200E+01       60       89   4.310000E-01   2.700000E-02
   1.059170E+02       90      119   8.680000E-01   4.000000E-02
   1.356050E+02      120      149   1.094000E+00   4.900000E-02
   1.654060E+02      150      179   1.007000E+00   5.300000E-02
   1.952670E+02      180      209   8.090000E-01   5.800000E-02
   2.251650E+02      210      239   1.179000E+00   7.300000E-02
   2.550870E+02      240      269   2.942000E+00   1.070000E-01
   2.850250E+02      270      299   6.653000E+00   1.640000E-01
   3.149750E+02      300      329   1.194200E+01   2.370000E-01
   3.449340E+02      330      359   1.707300E+01   3.090000E-01
   3.748990E+02      360      389   2.037900E+01   3.590000E-01
   4.048700E+02      390      419   2.117600E+01   3.750000E-01
   4.348440E+02      420      449   1.897700E+01   3.580000E-01
   4.648220E+02      450      479   1.421000E+01   3.260000E-01
   4.948030E+02      480      509   9.897000E+00   2.970000E-01
   5.247850E+02      510      539   6.821000E+00   2.540000E-01
   5.547700E+02      540      569   9.167000E+00   2.940000E-01
   5.847560E+02      570      599   1.510400E+01   3.730000E-01
   6.147440E+02      600      629   2.417400E+01   4.730000E-01
   6.447320E+02      630      659   3.166300E+01   5.690000E-01
   6.747220E+02      660      689   3.659000E+01   6.350000E-01
   7.047120E+02      690      719   3.766500E+01   6.580000E-01
   7.347040E+02      720      749   3.090100E+01   6.470000E-01
   7.646960E+02      750      779   2.449800E+01   6.230000E-01
   7.946880E+02      780      809   1.759400E+01   6.130000E-01
   8.246820E+02      810      839   1.293300E+01   6.360000E-01
   8.546750E+02      840      869   1.401300E+01   6.980000E-01
   8.846690E+02      870      899   2.127600E+01   7.950000E-01
   9.146640E+02      900      929   2.744500E+01   9.160000E-01
   9.446590E+02      930      959   3.779700E+01   1.041000E+00
   9.746540E+02      960      989   4.016200E+01   1.149000E+00
   1.004649E+03      990     1019   4.099700E+01   1.385000E+00
   1.034645E+03     1020     1049   3.779200E+01   1.521000E+00
   1.064641E+03     1050     1079   3.113900E+01   1.579000E+00
   1.094637E+03     1080     1109   2.077200E+01   1.647000E+00
   1.124633E+03     1110     1139   1.555000E+01   1.740000E+00
   1.154630E+03     1140     1169   1.358100E+01   1.868000E+00
   1.184626E+03     1170     1199   1.491300E+01   2.029000E+00
   1.214623E+03     1200     1229   2.150900E+01   2.217000E+00
   1.244620E+03     1230     1259   2.772900E+01   2.423000E+00
   1.274618E+03     1260     1289   3.097700E+01   2.635000E+00
   1.304615E+03     1290     1319   3.113900E+01   2.847000E+00
   1.334612E+03     1320     1349   2.919300E+01   3.061000E+00
   1.364610E+03     1350     1379   2.171500E+01   3.282000E+00
   1.394607E+03     1380     1409   1.901500E+01   3.520000E+00
   1.424605E+03     1410     1439   1.419400E+01   3.788000E+00
   1.454603E+03     1440     1469   1.098700E+01   4.092000E+00
   1.484601E+03     1470     1499   1.308400E+01   4.435000E+00
   1.514599E+03     1500     1529   1.476800E+01   4.819000E+00
   1.544597E+03     1530     1559   2.220500E+01   5.239000E+00
   1.574595E+03     1560     1589   9.440000E+00   5.693000E+00
   1.604593E+03     1590     1619   2.702900E+01   6.180000E+00
   1.634592E+03     1620     1649   2.138800E+01   6.700000E+00
   1.664590E+03     1650     1679   2.395200E+01   7.260000E+00
   1.694588E+03     1680     1709   1.280300E+01   7.867000E+00
   1.724587E+03     1710     1739   1.448800E+01   8.531000E+00
   1.754585E+03     1740     1769   2.843300E+01   9.261000E+00
   1.784584E+03     1770     1799  -1.795000E+00   1.006400E+01
   1.814583E+03     1800     1829   2.157600E+01   1.094600E+01
   1.844581E+03     1830     1859   3.420000E-01   1.191200E+01
   1.874580E+03     1860     1889   1.918300E+01   1.296700E+01
   1.904579E+03     1890     1919   9.607000E+00   1.411700E+01
   1.934577E+03     1920     1949   1.498300E+01   1.536800E+01
   1.964576E+03     1950     1979   4.392000E+00   1.673000E+01
   1.988024E+03     1980     1996   1.350600E+01   2.414100E+01
