     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
      30   5.000000E-03   8.300000E-02
      31  -1.430000E-01   8.200000E-02
      32   2.930000E-01   8.200000E-02
      33  -2.400000E-02   8.200000E-02
      34  -1.500000E-02   8.200000E-02
      35  -4.700000E-02   8.300000E-02
      36  -1.700000E-01   8.300000E-02
      37   3.400000E-02   8.400000E-02
      38   2.070000E-01   8.400000E-02
      39   1.350000E-01   8.500000E-02
      40   3.400000E-02   8.600000E-02
      41   1.500000E-01   8.700000E-02
      42   1.000000E-03   8.800000E-02
      43   6.200000E-02   8.900000E-02
      44  -6.900000E-02   9.000000E-02
      45   1.120000E-01   9.100000E-02
      46   9.000000E-02   9.300000E-02
      47  -1.300000E-02   9.400000E-02
      48   2.360000E-01   9.600000E-02
      49   1.650000E-01   9.700000E-02
      50   6.900000E-02   9.900000E-02
      51   3.320000E-01   1.010000E-01
      52   2.300000E-01   1.020000E-01
      53   3.200000E-02   1.040000E-01
      54   1.390000E-01   1.060000E-01
      55   2.480000E-01   1.080000E-01
      56  -1.700000E-02   1.100000E-01
      57   1.510000E-01   1.120000E-01
      58   2.710000E-01   1.140000E-01
      59   3.220000E-01   1.160000E-01
      60   1.460000E-01   1.180000E-01
      61   3.730000E-01   1.210000E-01
      62   4.280000E-01   1.230000E-01
      63   3.140000E-01   1.250000E-01
      64   1.860000E-01   1.280000E-01
      65   3.330000E-01   1.300000E-01
      66   5.550000E-01   1.320000E-01
      67   5.320000E-01   1.350000E-01
      68   2.410000E-01   1.370000E-01
      69   6.000000E-03   1.400000E-01
      70   3.050000E-01   1.420000E-01
      71   5.020000E-01   1.450000E-01
      72   2.140000E-01   1.480000E-01
      73   4.540000E-01   1.500000E-01
      74   4.610000E-01   1.530000E-01
      75   2.000000E-01   1.560000E-01
      76   4.560000E-01   1.580000E-01
      77   3.630000E-01   1.610000E-01
      78   6.810000E-01   1.640000E-01
      79   2.650000E-01   1.670000E-01
      80   3.800000E-01   1.690000E-01
      81   4.700000E-01   1.720000E-01
      82   7.040000E-01   1.750000E-01
      83   6.170000E-01   1.780000E-01
      84   5.610000E-01   1.810000E-01
      85   3.290000E-01   1.830000E-01
      86   6.440000E-01   1.860000E-01
      87   5.710000E-01   1.890000E-01
      88   4.440000E-01   1.920000E-01
      89   6.950000E-01   1.950000E-01
      90   7.800000E-01   1.970000E-01
      91   4.740000E-01   2.000000E-01
      92   4.680000E-01   2.030000E-01
      93   1.119000E+00   2.060000E-01
      94   9.310000E-01   2.090000E-01
      95   7.120000E-01   2.110000E-01
      96   6.810000E-01   2.140000E-01
      97   3.510000E-01   2.170000E-01
      98   8.530000E-01   2.200000E-01
      99   3.120000E-01   2.220000E-01
     100   6.290000E-01   2.250000E-01
     101   1.093000E+00   2.280000E-01
     102   9.260000E-01   2.300000E-01
     103   7.420000E-01   2.330000E-01
     104   9.100000E-01   2.350000E-01
     105   1.234000E+00   2.380000E-01
     106   5.160000E-01   2.400000E-01
     107   7.140000E-01   2.430000E-01
     108   1.194000E+00   2.450000E-01
     109   1.407000E+00   2.480000E-01
     110   5.350000E-01   2.500000E-01
     111   7.770000E-01   2.520000E-01
     112   1.267000E+00   2.550000E-01
     113   9.030000E-01   2.570000E-01
     114   6.600000E-01   2.590000E-01
     115   6.250000E-01   2.610000E-01
     116   1.189000E+00   2.630000E-01
     117   1.264000E+00   2.660000E-01
     118   8.370000E-01   2.680000E-01
     119   1.430000E+00   2.700000E-01
     120   1.194000E+00   2.720000E-01
     121   1.250000E+00   2.740000E-01
     122   9.260000E-01   2.750000E-01
     123   9.910000E-01   2.770000E-01
     124   1.096000E+00   2.790000E-01
     125   1.147000E+00   2.810000E-01
     126   9.690000E-01   2.830000E-01
     127   1.210000E+00   2.840000E-01
     128   1.338000E+00   2.860000E-01
     129   1.304000E+00   2.880000E-01
     130   7.230000E-01   2.890000E-01
     131   6.200000E-01   2.910000E-01
     132   7.920000E-01   2.920000E-01
     133   9.470000E-01   2.930000E-01
     134   1.512000E+00   2.950000E-01
     135   1.374000E+00   2.960000E-01
     136   1.635000E+00   2.970000E-01
     137   1.241000E+00   2.990000E-01
     138   1.049000E+00   3.000000E-01
     139   1.095000E+00   3.010000E-01
     140   7.160000E-01   3.020000E-01
     141   5.040000E-01   3.030000E-01
     142   1.280000E+00   3.040000E-01
     143   1.450000E+00   3.050000E-01
     144   1.014000E+00   3.060000E-01
     145   9.540000E-01   3.070000E-01
     146   1.321000E+00   3.080000E-01
     147   9.890000E-01   3.090000E-01
     148   9.730000E-01   3.100000E-01
     149   8.080000E-01   3.110000E-01
     150   7.730000E-01   3.110000E-01
     151   1.570000E+00   3.120000E-01
     152   1.160000E+00   3.130000E-01
     153   1.008000E+00   3.140000E-01
     154   6.750000E-01   3.140000E-01
     155   9.140000E-01   3.150000E-01
     156   7.890000E-01   3.150000E-01
     157   1.489000E+00   3.160000E-01
     158   2.092000E+00   3.170000E-01
     159   1.526000E+00   3.170000E-01
     160   6.520000E-01   3.180000E-01
     161   8.040000E-01   3.180000E-01
     162   9.310000E-01   3.190000E-01
     163   9.670000E-01   3.200000E-01
     164   9.610000E-01   3.200000E-01
     165   5.730000E-01   3.210000E-01
     166   6.910000E-01   3.210000E-01
     167   1.381000E+00   3.220000E-01
     168   5.320000E-01   3.220000E-01
