     ELL          D_ELL          ERRUP        ERRDOWN
       I              E              E              E
    none       muKcmb^2       muKcmb^2       muKcmb^2
       2   4.210000E-02   4.800000E-02   4.800000E-02
       3  -8.100000E-03   5.500000E-02   5.500000E-02
       4   4.680000E-02   6.400000E-02   6.400000E-02
       5   1.190000E-02   6.600000E-02   6.600000E-02
       6  -2.550000E-02   7.300000E-02   7.300000E-02
       7  -7.350000E-02   7.800000E-02   7.800000E-02
       8  -2.000000E-02   8.900000E-02   8.900000E-02
       9   2.745000E-01   9.900000E-02   9.900000E-02
      10  -1.333000E-01   1.120000E-01   1.120000E-01
      11   1.995000E-01   1.240000E-01   1.240000E-01
      12   1.724000E-01   1.380000E-01   1.380000E-01
      13  -1.674000E-01   1.520000E-01   1.520000E-01
      14  -3.143000E-01   1.670000E-01   1.670000E-01
      15   1.696000E-01   1.820000E-01   1.820000E-01
      16   1.082000E-01   1.980000E-01   1.980000E-01
      17   7.190000E-02   2.140000E-01   2.140000E-01
      18   4.260000E-02   2.310000E-01   2.310000E-01
      19  -1.541000E-01   2.490000E-01   2.490000E-01
      20   7.640000E-02   2.660000E-01   2.660000E-01
      21   1.563000E-01   2.860000E-01   2.860000E-01
      22  -1.236000E-01   3.040000E-01   3.040000E-01
      23  -4.620000E-02   3.240000E-01   3.240000E-01
      24   1.147000E-01   3.430000E-01   3.430000E-01
      25  -1.633000E-01   3.640000E-01   3.640000E-01
      26  -1.540000E-02   3.840000E-01   3.840000E-01
      27  -6.600000E-02   4.060000E-01   4.060000E-01
      28  -1.425000E-01   4.270000E-01   4.270000E-01
      29  -3.615000E-01   4.500000E-01   4.500000E-01
