     ELL          D_ELL          ERRUP        ERRDOWN
       I              E              E              E
    none       muKcmb^2       muKcmb^2       muKcmb^2
       2   4.220000E+00   2.924000E+00   2.924000E+00
       3   2.710500E+00   2.877000E+00   2.877000E+00
       4   8.348000E-01   3.060000E+00   3.060000E+00
       5  -1.001800E+00   3.038000E+00   3.038000E+00
       6   1.124000E-01   3.194000E+00   3.194000E+00
       7  -4.712800E+00   3.251000E+00   3.251000E+00
       8  -1.031000E+00   3.410000E+00   3.410000E+00
       9  -1.810100E+00   3.504000E+00   3.504000E+00
      10  -2.445800E+00   3.655000E+00   3.655000E+00
      11   1.113630E+01   3.769000E+00   3.769000E+00
      12  -6.368300E+00   3.923000E+00   3.923000E+00
      13  -6.594800E+00   4.052000E+00   4.052000E+00
      14  -1.165500E+00   4.202000E+00   4.202000E+00
      15   5.393400E+00   4.338000E+00   4.338000E+00
      16  -3.645800E+00   4.482000E+00   4.482000E+00
      17   6.032100E+00   4.629000E+00   4.629000E+00
      18   7.097200E+00   4.774000E+00   4.774000E+00
      19   1.160800E+00   4.930000E+00   4.930000E+00
      20   7.304900E+00   5.073000E+00   5.073000E+00
      21   1.415300E+00   5.236000E+00   5.236000E+00
      22  -1.439300E+00   5.379000E+00   5.379000E+00
      23   6.489200E+00   5.548000E+00   5.548000E+00
      24   5.197800E+00   5.695000E+00   5.695000E+00
      25   2.359700E+00   5.872000E+00   5.872000E+00
      26  -1.638700E+00   6.027000E+00   6.027000E+00
      27   8.026000E-01   6.216000E+00   6.216000E+00
      28   5.298500E+00   6.384000E+00   6.384000E+00
      29   1.196610E+01   6.592000E+00   6.592000E+00
