            ELL     LMIN     LMAX          D_ELL            ERR
              E        I        I              E              E
                                        muKcmb^2       muKcmb^2
   4.771100E+01       30       59   6.680000E-01   6.450000E-01
   7.647200E+01       60       89  -7.538000E+00   8.410000E-01
   1.059170E+02       90      119  -2.768000E+01   1.165000E+00
   1.356050E+02      120      149  -4.166900E+01   1.425000E+00
   1.654060E+02      150      179  -4.694400E+01   1.504000E+00
   1.952670E+02      180      209  -1.987000E+01   1.480000E+00
   2.251650E+02      210      239   2.163500E+01   1.619000E+00
   2.550870E+02      240      269   6.896900E+01   2.001000E+00
   2.850250E+02      270      299   1.080830E+02   2.375000E+00
   3.149750E+02      300      329   1.190090E+02   2.512000E+00
   3.449340E+02      330      359   9.396200E+01   2.373000E+00
   3.748990E+02      360      389   4.709600E+01   2.106000E+00
   4.048700E+02      390      419  -7.783000E+00   1.929000E+00
   4.348440E+02      420      449  -5.466700E+01   1.902000E+00
   4.648220E+02      450      479  -7.645300E+01   1.896000E+00
   4.948030E+02      480      509  -6.385200E+01   1.825000E+00
   5.247850E+02      510      539  -3.137200E+01   1.698000E+00
   5.547700E+02      540      569   4.842000E+00   1.792000E+00
   5.847560E+02      570      599   2.612700E+01   1.961000E+00
   6.147440E+02      600      629   2.414100E+01   2.091000E+00
   6.447320E+02      630      659  -4.595000E+00   2.167000E+00
   6.747220E+02      660      689  -5.868300E+01   2.247000E+00
   7.047120E+02      690      719  -9.844900E+01   2.356000E+00
   7.347040E+02      720      749  -1.273680E+02   2.440000E+00
   7.646960E+02      750      779  -1.221100E+02   2.441000E+00
   7.946880E+02      780      809  -9.469400E+01   2.379000E+00
   8.246820E+02      810      839  -4.680400E+01   2.327000E+00
   8.546750E+02      840      869   5.168000E+00   2.332000E+00
   8.846690E+02      870      899   4.444500E+01   2.359000E+00
   9.146640E+02      900      929   6.021800E+01   2.344000E+00
   9.446590E+02      930      959   4.622500E+01   2.265000E+00
   9.746540E+02      960      989   1.366400E+01   2.172000E+00
   1.004649E+03      990     1019  -3.511900E+01   2.269000E+00
   1.034645E+03     1020     1049  -5.844400E+01   2.364000E+00
   1.064641E+03     1050     1079  -8.003700E+01   2.435000E+00
   1.094637E+03     1080     1109  -7.061500E+01   2.504000E+00
   1.124633E+03     1110     1139  -4.967300E+01   2.554000E+00
   1.154630E+03     1140     1169  -2.483000E+01   2.585000E+00
   1.184626E+03     1170     1199  -9.102000E+00   2.592000E+00
   1.214623E+03     1200     1229   1.395000E+00   2.572000E+00
   1.244620E+03     1230     1259  -4.190000E-01   2.539000E+00
   1.274618E+03     1260     1289  -1.479200E+01   2.527000E+00
   1.304615E+03     1290     1319  -3.867500E+01   2.569000E+00
   1.334612E+03     1320     1349  -5.230000E+01   2.673000E+00
   1.364610E+03     1350     1379  -6.241100E+01   2.814000E+00
   1.394607E+03     1380     1409  -5.786900E+01   2.959000E+00
   1.424605E+03     1410     1439  -4.510200E+01   3.082000E+00
   1.454603E+03     1440     1469  -2.807500E+01   3.168000E+00
   1.484601E+03     1470     1499  -5.526000E+00   3.213000E+00
   1.514599E+03     1500     1529   5.403000E+00   3.225000E+00
   1.544597E+03     1530     1559   5.554000E+00   3.224000E+00
   1.574595E+03     1560     1589  -4.868000E+00   3.239000E+00
   1.604593E+03     1590     1619  -8.838000E+00   3.302000E+00
   1.634592E+03     1620     1649  -2.498600E+01   3.427000E+00
   1.664590E+03     1650     1679  -2.407300E+01   3.612000E+00
   1.694588E+03     1680     1709  -2.862000E+01   3.836000E+00
   1.724587E+03     1710     1739  -2.841200E+01   4.075000E+00
   1.754585E+03     1740     1769  -1.411400E+01   4.312000E+00
   1.784584E+03     1770     1799  -1.426800E+01   4.539000E+00
   1.814583E+03     1800     1829  -3.431000E+00   4.762000E+00
   1.844581E+03     1830     1859  -4.744000E+00   4.996000E+00
   1.874580E+03     1860     1889   2.086000E+00   5.260000E+00
   1.904579E+03     1890     1919  -1.035600E+01   5.573000E+00
   1.934577E+03     1920     1949  -2.578000E+00   5.946000E+00
   1.964576E+03     1950     1979  -2.028800E+01   6.380000E+00
   1.988024E+03     1980     1996  -2.991300E+01   9.072000E+00
