     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
      30  -2.290000E-01   3.393000E+00
      31   1.041000E+00   3.380000E+00
      32   5.090000E+00   3.368000E+00
      33   1.370000E-01   3.363000E+00
      34   2.663000E+00   3.360000E+00
      35  -2.709000E+00   3.361000E+00
      36   4.178000E+00   3.365000E+00
      37   8.357000E+00   3.371000E+00
      38   6.085000E+00   3.381000E+00
      39  -9.350000E-01   3.393000E+00
      40   3.349000E+00   3.408000E+00
      41   9.890000E-01   3.425000E+00
      42  -2.038000E+00   3.445000E+00
      43   1.233000E+00   3.467000E+00
      44   6.790000E-01   3.491000E+00
      45  -1.669000E+00   3.517000E+00
      46  -1.956000E+00   3.545000E+00
      47   3.318000E+00   3.575000E+00
      48  -2.443000E+00   3.606000E+00
      49   6.382000E+00   3.639000E+00
      50   3.780000E-01   3.673000E+00
      51   1.081300E+01   3.709000E+00
      52  -2.961000E+00   3.747000E+00
      53  -5.845000E+00   3.786000E+00
      54   3.097000E+00   3.826000E+00
      55  -1.412000E+00   3.868000E+00
      56  -7.437000E+00   3.911000E+00
      57  -7.437000E+00   3.955000E+00
      58  -4.809000E+00   4.001000E+00
      59   2.191000E+00   4.049000E+00
      60  -3.296000E+00   4.097000E+00
      61  -7.481000E+00   4.147000E+00
      62  -4.394000E+00   4.198000E+00
      63   9.470000E-01   4.250000E+00
      64  -6.669000E+00   4.303000E+00
      65  -3.073000E+00   4.358000E+00
      66  -3.987000E+00   4.414000E+00
      67  -4.070000E-01   4.470000E+00
      68  -5.121000E+00   4.528000E+00
      69   1.479000E+00   4.587000E+00
      70  -6.040000E+00   4.647000E+00
      71  -4.183000E+00   4.708000E+00
      72  -7.289000E+00   4.769000E+00
      73  -9.470000E+00   4.832000E+00
      74  -1.352800E+01   4.895000E+00
      75  -7.860000E-01   4.959000E+00
      76  -1.099500E+01   5.024000E+00
      77  -6.712000E+00   5.089000E+00
      78  -5.188000E+00   5.155000E+00
      79  -7.132000E+00   5.222000E+00
      80  -6.980000E+00   5.289000E+00
      81  -1.321100E+01   5.357000E+00
      82  -1.811800E+01   5.426000E+00
      83  -9.047000E+00   5.495000E+00
      84  -5.215000E+00   5.564000E+00
      85  -1.273800E+01   5.634000E+00
      86  -1.152000E+01   5.704000E+00
      87  -6.650000E+00   5.775000E+00
      88  -1.846500E+01   5.846000E+00
      89  -1.229000E+01   5.917000E+00
      90  -7.556000E+00   5.988000E+00
      91  -2.187900E+01   6.059000E+00
      92  -1.837700E+01   6.131000E+00
      93  -3.052300E+01   6.203000E+00
      94  -1.914800E+01   6.274000E+00
      95  -1.709300E+01   6.346000E+00
      96  -1.855300E+01   6.417000E+00
      97  -2.780700E+01   6.488000E+00
      98  -1.520500E+01   6.560000E+00
      99  -2.095600E+01   6.631000E+00
     100  -2.618300E+01   6.701000E+00
     101  -2.299000E+01   6.772000E+00
     102  -2.444400E+01   6.842000E+00
     103  -2.822400E+01   6.912000E+00
     104  -3.170500E+01   6.981000E+00
     105  -2.340200E+01   7.050000E+00
     106  -2.076700E+01   7.118000E+00
     107  -3.725700E+01   7.186000E+00
     108  -4.471100E+01   7.253000E+00
     109  -4.080600E+01   7.320000E+00
     110  -2.762400E+01   7.385000E+00
     111  -1.604400E+01   7.451000E+00
     112  -3.361100E+01   7.515000E+00
     113  -1.244300E+01   7.579000E+00
     114  -1.917500E+01   7.642000E+00
     115  -3.685900E+01   7.704000E+00
     116  -4.896000E+01   7.765000E+00
     117  -5.102300E+01   7.825000E+00
     118  -3.783900E+01   7.884000E+00
     119  -3.274100E+01   7.942000E+00
     120  -3.498700E+01   7.999000E+00
     121  -5.131400E+01   8.055000E+00
     122  -2.615900E+01   8.110000E+00
     123  -4.132100E+01   8.164000E+00
     124  -1.904400E+01   8.217000E+00
     125  -3.469200E+01   8.269000E+00
     126  -3.622500E+01   8.319000E+00
     127  -4.166700E+01   8.368000E+00
     128  -5.068200E+01   8.416000E+00
     129  -3.856800E+01   8.463000E+00
     130  -3.618800E+01   8.508000E+00
     131  -3.014600E+01   8.552000E+00
     132  -2.761800E+01   8.594000E+00
     133  -4.791700E+01   8.636000E+00
     134  -4.403900E+01   8.675000E+00
     135  -5.246200E+01   8.714000E+00
     136  -5.995900E+01   8.751000E+00
     137  -3.942500E+01   8.786000E+00
     138  -4.603600E+01   8.820000E+00
     139  -3.955100E+01   8.853000E+00
     140  -2.929900E+01   8.884000E+00
     141  -3.692400E+01   8.914000E+00
     142  -5.681400E+01   8.943000E+00
     143  -4.619500E+01   8.970000E+00
     144  -4.081800E+01   8.995000E+00
     145  -4.761200E+01   9.019000E+00
     146  -5.501200E+01   9.042000E+00
     147  -4.213000E+01   9.063000E+00
     148  -3.978700E+01   9.083000E+00
     149  -4.230600E+01   9.102000E+00
     150  -4.165500E+01   9.119000E+00
     151  -4.370900E+01   9.134000E+00
     152  -5.066800E+01   9.148000E+00
     153  -4.801100E+01   9.161000E+00
     154  -3.051500E+01   9.173000E+00
     155  -5.667500E+01   9.183000E+00
     156  -4.862200E+01   9.192000E+00
     157  -6.091400E+01   9.200000E+00
     158  -5.957800E+01   9.206000E+00
     159  -5.687200E+01   9.211000E+00
     160  -5.039800E+01   9.216000E+00
     161  -3.958600E+01   9.219000E+00
     162  -4.943300E+01   9.221000E+00
