     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
      30   1.096176E+03   2.781860E+02
      31   7.889860E+02   2.773450E+02
      32   1.550618E+03   2.767150E+02
      33   1.096446E+03   2.762670E+02
      34   9.873300E+02   2.759970E+02
      35   7.481990E+02   2.758760E+02
      36   1.119384E+03   2.758800E+02
      37   1.521577E+03   2.760310E+02
      38   1.293957E+03   2.763020E+02
      39   1.267823E+03   2.766660E+02
      40   1.726613E+03   2.771410E+02
      41   1.415723E+03   2.777040E+02
      42   1.407433E+03   2.783360E+02
      43   1.257749E+03   2.790290E+02
      44   1.411287E+03   2.797780E+02
      45   1.086264E+03   2.806110E+02
      46   1.167173E+03   2.814830E+02
      47   1.945625E+03   2.823690E+02
      48   1.004801E+03   2.832970E+02
      49   1.719975E+03   2.842780E+02
      50   1.704525E+03   2.852760E+02
      51   1.047183E+03   2.862790E+02
      52   1.592465E+03   2.873000E+02
      53   1.127526E+03   2.883790E+02
      54   1.178980E+03   2.894760E+02
      55   1.598655E+03   2.905770E+02
      56   1.540953E+03   2.917170E+02
      57   1.707266E+03   2.929040E+02
      58   1.731496E+03   2.941300E+02
      59   1.467220E+03   2.953830E+02
      60   1.797089E+03   2.966600E+02
      61   1.352036E+03   2.980040E+02
      62   2.212413E+03   2.993860E+02
      63   1.756353E+03   3.008470E+02
      64   1.248122E+03   3.023500E+02
      65   1.851959E+03   3.039070E+02
      66   1.625703E+03   3.055080E+02
      67   1.674692E+03   3.071560E+02
      68   1.774389E+03   3.088380E+02
      69   2.272156E+03   3.105580E+02
      70   1.877713E+03   3.123170E+02
      71   1.791546E+03   3.141060E+02
      72   1.529218E+03   3.159290E+02
      73   2.716885E+03   3.177770E+02
      74   2.019563E+03   3.196600E+02
      75   1.885369E+03   3.215630E+02
      76   1.891700E+03   3.234920E+02
      77   1.928174E+03   3.254490E+02
      78   1.670874E+03   3.274320E+02
      79   1.492009E+03   3.294440E+02
      80   2.311180E+03   3.314850E+02
      81   2.048104E+03   3.335480E+02
      82   2.812489E+03   3.356430E+02
      83   2.156383E+03   3.377600E+02
      84   1.552586E+03   3.399100E+02
      85   2.287951E+03   3.420830E+02
      86   2.544676E+03   3.442730E+02
      87   2.169713E+03   3.464850E+02
      88   1.788165E+03   3.487200E+02
      89   2.923684E+03   3.509840E+02
      90   2.256344E+03   3.532610E+02
      91   2.420611E+03   3.555600E+02
      92   2.577810E+03   3.578710E+02
      93   2.839689E+03   3.602120E+02
      94   2.170512E+03   3.625580E+02
      95   2.161933E+03   3.649350E+02
      96   2.386462E+03   3.673150E+02
      97   2.657205E+03   3.697130E+02
      98   2.215870E+03   3.721240E+02
      99   3.005500E+03   3.745580E+02
     100   2.922944E+03   3.770010E+02
     101   2.790997E+03   3.794550E+02
     102   2.914216E+03   3.819200E+02
     103   2.633627E+03   3.844050E+02
     104   3.048920E+03   3.868880E+02
     105   2.284035E+03   3.893920E+02
     106   2.800951E+03   3.919050E+02
     107   3.333309E+03   3.944230E+02
     108   3.928998E+03   3.969460E+02
     109   3.033088E+03   3.994710E+02
     110   3.428342E+03   4.020170E+02
     111   2.936308E+03   4.045560E+02
     112   3.050197E+03   4.071100E+02
     113   2.324539E+03   4.096550E+02
     114   2.213747E+03   4.122110E+02
     115   3.342905E+03   4.147740E+02
     116   4.325806E+03   4.173410E+02
     117   4.435381E+03   4.199070E+02
     118   3.454717E+03   4.224710E+02
     119   3.149621E+03   4.250350E+02
     120   2.658988E+03   4.276110E+02
     121   4.129985E+03   4.301620E+02
     122   3.439975E+03   4.327220E+02
     123   4.112952E+03   4.352740E+02
     124   2.956087E+03   4.378230E+02
     125   3.271624E+03   4.403730E+02
     126   3.326451E+03   4.428800E+02
     127   3.685647E+03   4.454190E+02
     128   3.809265E+03   4.479300E+02
     129   2.905447E+03   4.504280E+02
     130   4.019952E+03   4.529180E+02
     131   3.230864E+03   4.553920E+02
     132   2.895293E+03   4.578680E+02
     133   3.895380E+03   4.603140E+02
     134   3.576165E+03   4.627490E+02
     135   4.313821E+03   4.651900E+02
     136   4.665127E+03   4.675810E+02
     137   4.061542E+03   4.699720E+02
     138   3.947835E+03   4.723340E+02
     139   4.220890E+03   4.746810E+02
     140   3.812155E+03   4.770110E+02
     141   4.201613E+03   4.792990E+02
     142   4.509441E+03   4.815890E+02
     143   4.759355E+03   4.838390E+02
     144   3.898693E+03   4.860760E+02
     145   4.270562E+03   4.882850E+02
     146   4.237943E+03   4.904800E+02
     147   4.689131E+03   4.926340E+02
     148   3.749083E+03   4.947690E+02
     149   3.392011E+03   4.968740E+02
     150   4.537693E+03   4.989590E+02
     151   4.208377E+03   5.010040E+02
     152   4.587160E+03   5.030210E+02
     153   4.580110E+03   5.050130E+02
     154   3.937896E+03   5.069620E+02
     155   5.310256E+03   5.088890E+02
     156   4.328075E+03   5.107800E+02
     157   4.612317E+03   5.126360E+02
     158   5.530670E+03   5.144450E+02
     159   4.673818E+03   5.162340E+02
     160   5.309506E+03   5.179800E+02
     161   4.703674E+03   5.196940E+02
     162   4.598400E+03   5.213570E+02
     163   4.341599E+03   5.229960E+02
     164   4.712795E+03   5.245850E+02
     165   4.781894E+03   5.261410E+02
     166   5.336741E+03   5.276580E+02
     167   5.622117E+03   5.291200E+02
     168   5.493252E+03   5.305580E+02
