     ELL          D_ELL          ERRUP        ERRDOWN
       I              E              E              E
    none       muKcmb^2       muKcmb^2       muKcmb^2
       2   2.422020E+02   5.636060E+02   1.401010E+02
       3   8.862090E+02   1.144911E+03   4.242040E+02
       4   7.281070E+02   6.970070E+02   3.079030E+02
       5   1.391614E+03   1.066911E+03   5.300050E+02
       6   5.426050E+02   3.579040E+02   1.918020E+02
       7   1.122711E+03   6.472060E+02   3.673040E+02
       8   6.570070E+02   3.405030E+02   2.020020E+02
       9   6.490060E+02   3.109030E+02   1.911020E+02
      10   8.747090E+02   3.857040E+02   2.441020E+02
      11   9.860100E+02   4.039040E+02   2.622030E+02
      12   7.831080E+02   3.039030E+02   2.015020E+02
      13   6.787070E+02   2.501030E+02   1.687020E+02
      14   8.245080E+02   2.865030E+02   1.965020E+02
      15   8.774090E+02   2.918030E+02   2.031020E+02
      16   7.039070E+02   2.309020E+02   1.625020E+02
      17   8.812090E+02   2.720030E+02   1.938020E+02
      18   6.800070E+02   2.040020E+02   1.468010E+02
      19   8.418080E+02   2.444020E+02   1.776020E+02
      20   7.633080E+02   2.131020E+02   1.564020E+02
      21   6.704070E+02   1.849020E+02   1.367010E+02
      22   6.005060E+02   1.622020E+02   1.208010E+02
      23   7.740080E+02   2.013020E+02   1.510020E+02
      24   8.226080E+02   2.070020E+02   1.562020E+02
      25   8.487080E+02   2.113020E+02   1.607020E+02
      26   9.035090E+02   2.178020E+02   1.667020E+02
      27   8.975090E+02   2.105020E+02   1.618020E+02
      28   1.142311E+03   2.616030E+02   2.017020E+02
      29   1.140011E+03   2.555030E+02   1.983020E+02
