     ELL          D_ELL          ERRUP        ERRDOWN
       I              E              E              E
    none       muKcmb^2       muKcmb^2       muKcmb^2
       2   4.460000E-02   2.700000E-02   2.700000E-02
       3   3.510000E-02   3.500000E-02   3.500000E-02
       4   2.840000E-02   4.600000E-02   4.600000E-02
       5  -9.710000E-02   5.200000E-02   5.200000E-02
       6  -6.590000E-02   6.400000E-02   6.400000E-02
       7  -3.980000E-02   7.300000E-02   7.300000E-02
       8   5.300000E-02   8.600000E-02   8.600000E-02
       9   1.704000E-01   9.700000E-02   9.700000E-02
      10   2.840000E-02   1.100000E-01   1.100000E-01
      11   1.257000E-01   1.220000E-01   1.220000E-01
      12  -1.910000E-02   1.370000E-01   1.370000E-01
      13   3.880000E-02   1.510000E-01   1.510000E-01
      14  -2.390000E-02   1.660000E-01   1.660000E-01
      15   1.214000E-01   1.810000E-01   1.810000E-01
      16   1.850000E-02   1.970000E-01   1.970000E-01
      17  -9.590000E-02   2.140000E-01   2.140000E-01
      18   5.151000E-01   2.310000E-01   2.310000E-01
      19   2.006000E-01   2.480000E-01   2.480000E-01
      20   2.340000E-02   2.650000E-01   2.650000E-01
      21   1.895000E-01   2.840000E-01   2.840000E-01
      22  -1.530000E-02   3.020000E-01   3.020000E-01
      23  -1.929000E-01   3.220000E-01   3.220000E-01
      24   1.197000E-01   3.410000E-01   3.410000E-01
      25  -5.540000E-01   3.620000E-01   3.620000E-01
      26  -1.487000E-01   3.810000E-01   3.810000E-01
      27   1.302900E+00   4.030000E-01   4.030000E-01
      28  -3.260000E-02   4.220000E-01   4.220000E-01
      29  -4.328000E-01   4.450000E-01   4.450000E-01
