     ELL          D_ELL          ERRUP        ERRDOWN
       I              E              E              E
    none       muKcmb^2       muKcmb^2       muKcmb^2
       2   2.900000E-03   2.600000E-02   2.600000E-02
       3  -5.980000E-02   3.100000E-02   3.100000E-02
       4   9.900000E-03   3.900000E-02   3.900000E-02
       5  -7.900000E-03   4.200000E-02   4.200000E-02
       6   1.140000E-02   4.800000E-02   4.800000E-02
       7  -2.100000E-02   5.400000E-02   5.400000E-02
       8  -1.206000E-01   6.200000E-02   6.200000E-02
       9  -8.210000E-02   6.900000E-02   6.900000E-02
      10  -7.660000E-02   7.900000E-02   7.900000E-02
      11   7.370000E-02   8.700000E-02   8.700000E-02
      12  -2.299000E-01   9.700000E-02   9.700000E-02
      13  -1.520000E-01   1.070000E-01   1.070000E-01
      14   2.069000E-01   1.180000E-01   1.180000E-01
      15   2.620000E-02   1.290000E-01   1.290000E-01
      16  -1.924000E-01   1.400000E-01   1.400000E-01
      17   4.510000E-02   1.520000E-01   1.520000E-01
      18  -1.338000E-01   1.640000E-01   1.640000E-01
      19   4.749000E-01   1.760000E-01   1.760000E-01
      20   3.282000E-01   1.880000E-01   1.880000E-01
      21  -9.870000E-02   2.020000E-01   2.020000E-01
      22   1.350000E-02   2.140000E-01   2.140000E-01
      23  -9.800000E-02   2.290000E-01   2.290000E-01
      24  -2.023000E-01   2.420000E-01   2.420000E-01
      25   1.874000E-01   2.570000E-01   2.570000E-01
      26  -7.052000E-01   2.710000E-01   2.710000E-01
      27   1.587000E-01   2.860000E-01   2.860000E-01
      28   6.652000E-01   3.010000E-01   3.010000E-01
      29  -1.457000E-01   3.170000E-01   3.170000E-01
