     ELL          D_ELL          ERRUP        ERRDOWN
       I              E              E              E
    none       muKcmb^2       muKcmb^2       muKcmb^2
       2   8.313000E-01   3.978000E+00   3.978000E+00
       3   6.778000E-01   3.804000E+00   3.804000E+00
       4   3.848200E+00   3.749000E+00   3.749000E+00
       5   5.335700E+00   3.504000E+00   3.504000E+00
       6  -3.223200E+00   3.451000E+00   3.451000E+00
       7  -7.265000E-01   3.396000E+00   3.396000E+00
       8   5.981800E+00   3.488000E+00   3.488000E+00
       9   1.180140E+01   3.555000E+00   3.555000E+00
      10   7.091900E+00   3.700000E+00   3.700000E+00
      11   9.019900E+00   3.802000E+00   3.802000E+00
      12  -2.688400E+00   3.951000E+00   3.951000E+00
      13   1.219100E+00   4.078000E+00   4.078000E+00
      14   7.533300E+00   4.223000E+00   4.223000E+00
      15  -6.785900E+00   4.359000E+00   4.359000E+00
      16   2.513500E+00   4.503000E+00   4.503000E+00
      17   4.873700E+00   4.651000E+00   4.651000E+00
      18   9.278000E+00   4.798000E+00   4.798000E+00
      19   5.078200E+00   4.953000E+00   4.953000E+00
      20   8.407400E+00   5.101000E+00   5.101000E+00
      21   1.043470E+01   5.264000E+00   5.264000E+00
      22  -1.742100E+00   5.412000E+00   5.412000E+00
      23  -4.243000E-01   5.584000E+00   5.584000E+00
      24   5.981200E+00   5.735000E+00   5.735000E+00
      25  -4.700000E+00   5.915000E+00   5.915000E+00
      26   5.967200E+00   6.075000E+00   6.075000E+00
      27  -6.707100E+00   6.266000E+00   6.266000E+00
      28   4.886900E+00   6.441000E+00   6.441000E+00
      29   1.163320E+01   6.652000E+00   6.652000E+00
